timestamp,seed,url,domain,title,drug_name,indication,sponsor,phase,date,summary
2026-08-04T08:01:16.395611Z,https://www.nice.org.uk/guidance/published?ndt=Guidance&ngt=Technology+appraisal+guidance,https://www.nice.org.uk/guidance/published?ndt=Guidance&ngt=Technology+appraisal+guidance#content-start,www.nice.org.uk,"Published guidance, NICE advice and quality standards | Guidance | NICE","Published guidance, NICE advice and quality",,,,2026-07-30T12:00:00,"Browse the complete list of all our published health and social care guidance, including guidelines, NICE advice and quality standards"
2026-08-04T08:01:17.822748Z,https://www.nice.org.uk/guidance/published?ndt=Guidance&ngt=Technology+appraisal+guidance,https://www.nice.org.uk/about/what-we-do/life-sciences,www.nice.org.uk,Life sciences: how to get your product to market | NICE,Life sciences: how to get your,"UK PharmaScan is a database of new medicines, indications and formulations in the pharmaceutical pipeline",,,,"NICE Advice works closely with our system partners and industry to drive innovation into the hands of health and care professionals, to enable best practice."
2026-08-04T08:01:18.995291Z,https://www.nice.org.uk/guidance/published?ndt=Guidance&ngt=Technology+appraisal+guidance,https://www.nice.org.uk/guidance/published?ndt=Guidance&ngt=Technology+appraisal+guidance#filters,www.nice.org.uk,"Published guidance, NICE advice and quality standards | Guidance | NICE","Published guidance, NICE advice and quality",,,,2026-07-30T12:00:00,"Browse the complete list of all our published health and social care guidance, including guidelines, NICE advice and quality standards"
2026-08-04T08:01:20.166148Z,https://www.nice.org.uk/guidance/published?ndt=Guidance&ngt=Technology+appraisal+guidance,https://www.nice.org.uk/guidance/published?ndt=Guidance&ngt=Technology+appraisal+guidance#results,www.nice.org.uk,"Published guidance, NICE advice and quality standards | Guidance | NICE","Published guidance, NICE advice and quality",,,,2026-07-30T12:00:00,"Browse the complete list of all our published health and social care guidance, including guidelines, NICE advice and quality standards"
2026-08-04T08:01:21.339520Z,https://www.nice.org.uk/guidance/published?ndt=Guidance&ngt=Technology+appraisal+guidance,https://www.nice.org.uk/guidance/published,www.nice.org.uk,"Published guidance, NICE advice and quality standards | Guidance | NICE","Published guidance, NICE advice and quality",,,,2021-06-25T12:00:00,"Browse the complete list of all our published health and social care guidance, including guidelines, NICE advice and quality standards"
2026-08-04T08:01:22.514859Z,https://www.nice.org.uk/guidance/published?ndt=Guidance&ngt=Technology+appraisal+guidance,https://www.nice.org.uk/guidance/terminated?ndt=Guidance&ngt=Technology%20appraisal%20guidance,www.nice.org.uk,Terminated | Guidance | NICE,Terminated,,,,,Find out what guidance has been terminated
2026-08-04T08:01:23.681441Z,https://www.nice.org.uk/guidance/published?ndt=Guidance&ngt=Technology+appraisal+guidance,https://www.nice.org.uk/guidance/inconsultation?ndt=Guidance&ngt=Technology%20appraisal%20guidance,www.nice.org.uk,Guidance and quality standards in consultation | Guidance | NICE,Guidance and quality standards in consultation,,,,2026-08-25T05:00:00,See a complete list of all our guidance and quality standards currently open for consultation
2026-08-04T08:01:24.894330Z,https://www.nice.org.uk/guidance/published?ndt=Guidance&ngt=Technology+appraisal+guidance,https://www.nice.org.uk/guidance/indevelopment?ndt=Guidance&ngt=Technology%20appraisal%20guidance,www.nice.org.uk,"Guidance, NICE advice and quality standards in development | Guidance | NICE","Guidance, NICE advice and quality standards",,,,2026-08-26T12:00:00,"View a complete list of all our guidance, NICE advice and quality standards currently in development"
2026-08-04T08:02:04.313996Z,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ6000,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ6000,,,,,,,,HTTP 404
2026-08-04T08:01:35.757368Z,https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712&pn=1,https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712&pn=1#mainContent,www.fda.gov.tw,新成分新藥核准審查報告摘要 - 查驗登記專區 - 藥品 - 業務專區 - 衛生福利部食品藥物管理署,新成分新藥核准審查報告摘要,,,,2026-07-24,衛生福利部食品藥物管理署
2026-08-04T08:01:37.675761Z,https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712&pn=1,https://www.fda.gov.tw/ENG/index.aspx,www.fda.gov.tw,"Food and Drug Administration, Department of Health","Food and Drug Administration, Department of",,,,2026-07-06,"2025 APEC Medical Devices Regulatory Science Center of Excellence Workshop (August 26 to 28, 2025)"
2026-08-04T08:01:41.714026Z,https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712&pn=1,https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712&pn=1,www.fda.gov.tw,新成分新藥核准審查報告摘要 - 查驗登記專區 - 藥品 - 業務專區 - 衛生福利部食品藥物管理署,新成分新藥核准審查報告摘要,,,,2026-07-24,衛生福利部食品藥物管理署
2026-08-04T08:01:46.339418Z,https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712&pn=1,https://www.fda.gov.tw/TC/index.aspx,www.fda.gov.tw,衛生福利部食品藥物管理署,衛生福利部食品藥物管理署,,,,2026-08-02,衛生福利部食品藥物管理署
2026-08-04T08:01:50.039717Z,https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712&pn=1,https://www.fda.gov.tw/TC/sitemap.aspx,www.fda.gov.tw,網站導覽 - 衛生福利部食品藥物管理署,網站導覽,,,,,衛生福利部食品藥物管理署
2026-08-04T08:01:52.590951Z,https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712&pn=1,https://www.fda.gov.tw/TC/glossary.aspx,www.fda.gov.tw,雙語詞彙 - 衛生福利部食品藥物管理署,雙語詞彙,,,,,衛生福利部食品藥物管理署
2026-08-04T08:01:54.877994Z,https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712&pn=1,https://www.fda.gov.tw/TC/faq.aspx,www.fda.gov.tw,常見問答 - 便民服務 - 衛生福利部食品藥物管理署,常見問答,,,,2026-03-12,衛生福利部食品藥物管理署
2026-08-04T08:02:04.314058Z,https://www.nhi.gov.tw/ch/np-2476-1.html,https://www.nhi.gov.tw/ch/np-2476-1.html,,,,,,,,"HTTPSConnectionPool(host='www.nhi.gov.tw', port=443): Max retries exceeded with url: /ch/np-2476-1.html (Caused by ResponseError('too many 403 error responses'))"
